OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
1,14,Albany Park,57655,51542,48396,17161,2.74273061,48647,2538,9258,12822,10799,7795,3675,1269,491,34.70690685,16872,22193,2047,6094,1441,47247,39605,28025,26126,1883,11580,25426,2799,22627,11350,2264,7104,1697,212,814215,3467,8106,4415,1112,33270,6915,7202,3907,1832,9006,4408,2423,3695,2730,2240,3245,2767,72370.58824,34286.17095,17100,7148,9952,1587,18687,3878,146,3537,4088,3575,1175,2283,5,5.456068205,958,1778,3051,12900,1926.215116,3955,7984,4690,1456,602,420,2671,2633,1360,329078.0142,9775,344,2413,4447,2462,109,1227.714835,16094,1637,1006,15174,14276,1926,18650,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2496,2168,1938,1711,1546,5389,Health Care,Retail Trade,Manufacturing,Administration,Information,1007,805,787,557,490,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7348,2987,1560,860,550,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2478,550,165,161,124,,,,10033.1001,,,,,,,,,,0,0,1,0,0,1,1.696209209,1229.160473,303.511848,0.246926138,294.974628,0.239980568,34.83738575,0.028342423,75.2711357,0.061237843,54.33594159,0.044205735,10.60863055,0.008630794,413.6318706,0.33651576,0,0,28.33735274,0.023054234,13.65167956,0.011106507,4141,5014,3373,4572,10688,2031,6412,1509,10,119,1380,4344,210,697,3437,2726,450,1472,804,8190,5533,1975,682,31294,17353,46109,27053,13788,19056,18890,1430,218,1837,818,388,1344,1875,253,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.45750328,0.819019638,0,0,0.052479098,1,1,0.538133623
2,57,Archer Heights,12644,13393,14196,4163,3.403314917,13591,874,3075,3108,2552,2147,1072,467,296,33.90950792,2037,10580,48,885,41,13579,10649,6589,5854,735,4060,5710,121,5589,3372,1018,836,302,61,188545,887,1588,1331,559,8809,2310,3862,1174,408,786,269,1035,1091,769,375,569,526,52003.5461,23136.28754,4365,2851,1514,389,4754,2376,70,1141,945,87,115,20,0,5.369680851,63,554,2849,1288,1952.732111,453,1821,1822,291,367,453,2203,180,14,215822.0025,1477,22,922,461,72,0,883.9147287,3561,378,804,3428,3300,937,4706,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,601,566,496,493,463,9262,Manufacturing,Transportation,Retail Trade,Wholesale Trade,Other Service,3401,2215,802,765,423,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1838,687,354,284,221,Outside of Chicago,West Lawn,Gage Park,South Lawndale,Archer Heights,4926,268,255,250,221,,,,12513.31284,,,,,,,,,,0,0,1,0.156894858,0.03771466,0.805390482,1.504478234,1283.805525,167.1466785,0.13019626,70.02070983,0.054541524,9.629380319,0.007500653,72.50141836,0.056473833,37.9630409,0.02957071,335.6241863,0.261429149,556.7254,0.433652441,0,0,15.00514547,0.011688021,19.1895655,0.014947408,1324,1068,504,1469,2893,280,1472,358,9,0,349,1731,177,459,1095,769,322,299,148,1470,1078,333,59,7953,5638,12717,10746,5296,1971,9024,963,680,0,0,0,13,66,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,,,,,,,0.994886727,0.439368999,0.146898551,0.791876859,0,0,0.259475735,1,1,0.407036909
3,34,Armour Square,12032,13391,13890,5648,2.446352691,13323.66393,671.2622951,1863.409836,2368.368852,2269.918033,2845.770492,1454.245902,908.5655738,942.1229508,47.34447794,2202.155738,788.0737705,1135.172131,9037.262295,161,13308.51498,11286.11929,6079.542153,5594.817727,484.7244252,5206.577141,5477.292902,297.7590803,5179.533822,2336.151616,881.4741753,1290.903366,513.0046651,158,151101.3162,2258.269127,2090.278128,989.1971197,236.6210621,10084.7377,3586.819672,2049.278689,1021.008197,441.942623,1711.672131,1274.016393,2176.161198,1076.412268,700.8345221,521.7974322,446.4393723,652.3281027,37404.95365,26510.44702,5573.972896,2165.594164,3407.396552,399.9415121,5972.866048,603.1870027,576.3183024,925.8541114,1126.850133,706.2188329,263,1762.437666,9,4.777508128,805.3129973,2550.759947,546.2625995,2070.530504,1974.279449,1706.054377,1838.625995,1977.190981,299.7758621,151.2188329,98.10699001,885.3694722,792.6219686,388.1455064,324588.3307,3236.300999,1421,689.8188302,600.8559201,482.9843081,41.64194009,702.7214599,4521.266762,1000.813124,1052.706134,4397.817404,4275.817404,1176.155492,5230,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1125,765,429,401,382,5052,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1830,1011,577,388,309,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1774,894,655,360,265,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1126,732,655,284,227,,,,7759.615769,,,,,,,,,,0,0,1,0,0,1,2.521481401,637.4241555,56.55893892,0.088730461,79.00297139,0.123940975,9.350042329,0.014668478,90.52769633,0.142021126,11.24931106,0.017648078,15.44317508,0.024227471,344.0244754,0.539710446,0,0,15.01920659,0.023562343,16.2483383,0.025490622,1986.087019,1615.728959,980.6533524,991.5035663,3256.767475,366.4493581,2317.205421,1662.120612,164,442,1056.120612,1443.187219,264.2025203,305.1755176,873.8091809,701.1476148,300.229523,255.3240324,145.5940594,1520.451845,1120.19802,136.4437444,263.810081,6376.780073,6948.171276,12653.43219,8443.538487,6037.136621,4209.893702,432.5181606,100.3195601,7295.681106,119.074975,56,122,158.11996,154.8247251,5,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.323963865,0.815346511,0.200206398,0,0.094773274,1,1,0.569835386
4,70,Ashburn,39584,41081,41098,12909,3.140367186,44215,2319,10426,8494,9433,8074,3403,1375,691,36.59357798,3694,20483,19048,358,632,43715,34164,21737,19159,2578,12427,18426,1188,17238,12636,1999,2129,98,376,674990,955,4376,5080,3031,28293,5463,8914,6257,2248,3400,2011,2080,2182,2680,2443,2600,1457,72904.5512,25852.865,13442,11254,2188,418,13860,12494,174,325,334,262,166,105,0,6.58645775,244,1782,11367,467,1956.806524,547,1986,7551,2763,1013,2072,8444,591,122,194883.6276,2117,182,477,648,767,43,1253.472222,12588,1177,854,11926,11634,1516,17024,Health Care,Education,Retail Trade,Accommodation and Food Service,Public Administration,2472,1977,1558,1430,1428,4156,Utilities,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,774,744,721,408,350,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,7307,3754,916,876,224,Outside of Chicago,Ashburn,Chicago Lawn,Auburn Gresham,Gage Park,2352,224,108,107,61,,,,16825.05065,,,,,,,,,,0,0,1,0,0.16392177,0.83607823,2.025248363,3109.759566,1267.446283,0.407570507,41.15878068,0.013235358,9.861780469,0.003171236,125.3788284,0.040317853,166.4602495,0.053528334,127.7997638,0.041096349,1073.097276,0.345074033,0,0,259.8666224,0.08356486,38.68998105,0.01244147,2954,3257,2497,4734,10175,1217,3267,1439,30,25,1384,2644,440,419,1785,2680,770,821,1089,6476,4271,1889,316,36108,8107,41896,17472,5627,24424,16088,121,61,99,379,0,94,430,200,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,,,,,,,0.8720485,0.587266553,0.297458676,0.776385695,0.144636625,0,0.160631162,1,1,0.29148606
5,71,Auburn Gresham,55928,48743,44878,18071,2.476619999,48039,3408,9469,9229,8575,8884,4391,3154,929,38.03826612,406,1713,45261,116,543,47963,37175,21215,17109,4106,15960,16470,1237,15233,9514,1515,3786,122,296,624110,5228,7716,3400,1365,31955,4470,10794,9061,2684,3200,1746,6183,4279,2877,1369,1951,1050,37740.96386,21812.86471,17709,8146,9563,3317,21026,9280,431,3774,2655,2350,812,1667,57,5.952554008,1338,3176,8565,7947,1948.169373,3682,6067,7388,2290,1599,3793,4066,240,10,154045.4827,8975,1431,3527,2712,1274,31,948.7472767,15003,3317,2706,13400,12917,4309,15048,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3017,1686,1457,1380,1346,2089,Retail Trade,Accommodation and Food Service,Health Care,Education,Finance,580,355,200,195,140,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5199,3185,1326,990,243,Outside of Chicago,Auburn Gresham,Roseland,Greater Grand Crossing,West Englewood,901,191,75,67,51,,,,11009.94907,,,,,,,,,,0,0,1,0,0.053931462,0.946068538,1.634956842,2411.96864,796.0803135,0.330054173,317.6170811,0.131683752,21.58955447,0.00895101,94.46958175,0.039167003,108.9313226,0.045162827,53.01919373,0.021981709,833.8594552,0.34571737,0,0,59.57819252,0.024701064,126.8239448,0.052581092,6701,4216,3051,3741,10539,3190,7170,4062,204,411,3447,5171,769,1224,3178,2776,1144,1074,558,4345,3245,996,104,46720,1319,44631,1685,676,42946,1329,21,88,17,40,0,13,117,60,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,,,,,,,0.950207561,0.87847097,0.245749118,0.70810769,0.027726401,0,0.09118119,1,1,0.406433824
6,25,Austin,117527,98514,96557,35864,2.662307607,97313,6403,19195,20225,19346,17426,8851,4205,1662,37.10418833,5190,17154,72823,495,1651,96330,76239,43993,38049,5944,32246,37132,1641,35491,21622,3715,8780,959,415,1321050,10405,13642,7216,3328,64681,10886,22625,15977,5234,5678,4281,12294,8447,5185,2642,3753,2270,38406.99566,22436.34438,34591,14119,20472,4852,39443,10087,737,12150,7474,3110,1664,4035,186,5.7447604,1069,4659,13639,20076,1939.117105,7555,13400,12410,4056,2022,3385,7476,2677,431,224575.0245,19667,2096,7357,8092,2094,28,1018.747536,29913,5977,4678,28129,26528,6462,34568,Health Care,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5896,4293,3582,3213,2849,13075,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,2530,2102,1712,1139,1002,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15960,5213,2380,1728,912,Outside of Chicago,Austin,Belmont Cragin,Logan Square,Humboldt Park,6640,912,264,222,214,,,,10645.20484,,,,,,,,,,0,0,1,0,0.011620038,0.988379962,0.689628562,4574.248506,952.7025586,0.208275208,784.5950638,0.171524364,62.14767034,0.013586422,203.7513761,0.044543137,208.2384151,0.045524071,467.9594135,0.102303015,1470.947907,0.32157149,0,0,199.7012974,0.043657728,224.2048041,0.049014566,11858,9046,5518,8169,21109,5344,13482,8841,243,597,8001,10344,905,1858,7581,5054,1673,1715,1666,8592,6593,1746,253,90541,6772,90910,13871,5061,77039,12139,515,0,37,84,26,206,478,386,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,,,,,,,0.997275537,0.925599082,0.226374774,0.71973859,0,0,0.090170723,1,1,0.416368356
7,45,Avalon Park,11147,10185,9458,4145,2.281544029,9740.26656,538.2242618,1595.181963,1481.494812,1801.893855,1953.328811,987.2865124,926.6703911,456.1859537,45.58685425,46,43,9091.26656,124,436,9718.072797,8247.876603,5005.883013,4333.356731,672.5262821,3241.99359,4209.863462,316.1282051,3893.735256,2452.401923,226.0573718,987.2621795,116.3625,111.6512821,168630.8125,893.8859617,2091.093468,805.8137856,338.2028149,7118.22905,710.1276935,2043.098962,1754.263368,416.4030327,1297.836393,896.499601,901.7088123,1028.827586,657.1264368,471,720.8697318,346.9348659,53867.30091,30016.0539,4126.467433,2684.034364,1444.652921,700.7509579,4829.979381,2903.505155,359.2439863,185.9690722,629.2474227,201,94.97250859,456.0412371,0,6.327837269,455,377.9415808,2447.563574,1549.474227,1949.821136,789.0412371,1661.233677,1197.56701,977.7491409,204.3883162,734.6206897,1777.681992,170.5862069,0,179575.8619,1418.578544,231,527.8697318,441.1609195,218.5478927,0,977.4653896,3360.264368,552.8544061,766.2030651,3171.264368,3078.264368,955.2030651,3400,Health Care,Education,Administration,Public Administration,Accommodation and Food Service,654,428,367,299,279,2766,Health Care,Construction,Accommodation and Food Service,Finance,Retail Trade,1912,264,172,115,112,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,977,931,312,182,100,Outside of Chicago,South Shore,Roseland,Austin,Auburn Gresham,998,123,116,114,107,,,,11906.62358,,,,,,,,,,0,0,1,0,0,1,2.859074253,800.108762,303.3959646,0.379193404,29.00765349,0.036254638,2.720796489,0.003400533,45.09862963,0.056365624,41.86846187,0.052328463,12.00895261,0.01500915,313.565362,0.391903422,0,0,31.43771908,0.039291807,21.00522216,0.026252959,1697.869732,1204.915709,567.5019157,656.1800766,2328.597701,449.743295,1797.869732,649.1779141,0,0,649.1779141,1267.543486,228.1266691,236.5420426,802.8747744,644.4594009,170.3287622,284.1916276,189.9390112,1528.010105,1073.456875,430.7264525,23.82677734,9484.190705,262.7086538,9206.362179,668.7907051,196.9211538,8537.571474,115.5586538,0.994551282,158.1772436,0,0,64.64583333,102.4387821,105.6403846,121.3352564,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.37402721,0.781848032,0,0,0.128206624,1,1,0.357121643
8,21,Avondale,43083,39262,36257,14578,2.476951571,36820,1981,5710,11826,8728,5569,2082,624,300,33.92210321,13649,19082,857,1718,1514,36727,30538,23286,22118,1168,7252,21881,3423,18458,9395,1822,5759,1179,303,646915,2495,6752,3806,943,26517,3908,6049,3579,1644,7417,3920,1800,2360,2372,1973,2322,3169,80904.71363,40104.6286,13996,6108,7888,1721,15717,2705,503,4476,4910,1897,436,772,18,5.507708821,1648,1674,2780,9615,1930.865835,2322,7560,4363,980,492,323,1380,2570,1810,390622.8842,7784,135,1374,3392,2513,370,1334.046053,13274,902,722,12613,12227,1383,15948,Accommodation and Food Service,Professional,Health Care,Retail Trade,Manufacturing,1840,1779,1743,1465,1233,8699,Manufacturing,Retail Trade,Utilities,Accommodation and Food Service,Construction,1638,1393,985,840,664,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5478,2844,1472,1140,588,Outside of Chicago,Avondale,Belmont Cragin,Logan Square,Irving Park,4050,403,342,326,238,,,,10703.25569,,,,,,,,,,0,0,1,0,0,1,0.836002658,1269.297394,165.3278798,0.130251492,311.3146135,0.245265306,34.83466229,0.027444051,117.6705849,0.092705291,32.03182951,0.025235874,109.9022596,0.086585114,476.9860213,0.375787442,0,0,8.819099168,0.006948016,12.41044416,0.009777412,3773,5118,2429,2676,7613,1056,6383,1045,0,0,1045,2704,134,504,2066,2362,460,910,992,7455,5026,1806,623,27384,9436,34839,17992,6820,16847,15085,1297,87,552,41,189,248,440,53,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.469926358,0.847689521,0.017054315,0,0.069558815,1,1,0.507038379
9,19,Belmont Cragin,78144,78743,78116,23450,3.322004264,78610,4862,17980,15997,17329,13815,5250,2548,829,35.38601723,11699,61657,2320,1912,1022,78308,61047,39901,37690,2211,21146,36813,1806,35007,23931,4398,4931,1037,710,1356895,3038,8554,7303,4015,50169,15386,14926,8985,3230,5223,2419,4390,5284,4048,3681,3269,2238,61468.3645,22810.33166,22910,12068,10842,1831,24741,10087,410,6282,4785,1951,513,677,36,5.721128986,1088,2728,7092,13833,1934.713728,3977,9586,6774,2656,1748,1116,6745,3978,208,267280.9829,10547,296,3520,5056,1575,100,1114.511314,20589,2907,2321,19056,18061,3854,27559,Manufacturing,Health Care,Accommodation and Food Service,Retail Trade,Administration,3781,3445,3214,3159,2616,7717,Retail Trade,Accommodation and Food Service,Manufacturing,Administration,Health Care,2615,981,678,612,587,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,13332,2938,1595,1003,814,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,3720,814,248,223,170,,,,13332.71357,,,,,,,,,,0,0,1,0,0,1,0.888154336,2504.577972,710.6990344,0.283759996,391.9585476,0.156496844,48.55049625,0.019384701,237.3647285,0.094772345,148.9151959,0.059457201,108.5275859,0.043331686,775.5703975,0.309661111,0,0,64.99209246,0.025949319,17.99989333,0.007186797,4726,5561,3368,9255,16944,3139,5966,2794,0,73,2721,6486,320,1068,5098,3971,1109,1298,1564,9130,5625,2640,865,48563,30047,73748,58842,26578,14906,51778,4243,27,1297,455,6,269,703,64,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.201848663,0.783335449,0,0,0.080030112,1,1,0.330669384
10,72,Beverly,21992,20034,20027,7691,2.597581589,19919,1133,3562,3058,3333,5102,2429,995,307,45.03744493,11015,1443,6451,268,742,19895,16016,10623,9820,803,5393,9668,970,8698,6093,483,1754,238,130,282975,320,2679,3399,1024,14160,419,1860,2462,1159,4301,3959,519,837,864,974,1534,2694,113823.5294,56730.75556,7422,6331,1091,623,8045,6334,145,426,273,473,254,131,9,7.364042934,136,535,3652,3722,1942.040054,715,1266,3240,1941,883,408,2166,2833,899,329555.8959,1022,0,614,229,101,78,957.7868852,7195,246,227,7048,6965,374,10094,Education,Health Care,Public Administration,Professional,Accommodation and Food Service,1818,1352,1262,767,632,4004,Transportation,Professional,Accommodation and Food Service,Retail Trade,Health Care,758,716,477,405,361,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3718,3230,558,500,326,Outside of Chicago,Beverly,Auburn Gresham,Morgan Park,Roseland,2069,326,103,98,87,,,,16576.73369,,,,,,,,,,0,0,1,0,0.033229102,0.966770898,2.00313859,2038.093747,1046.332881,0.513388004,58.39510796,0.028651826,10.06065975,0.004936309,65.11824618,0.031950565,43.0874835,0.02114107,0.54375305,0.000266795,548.8096171,0.269275944,0,0,257.6114351,0.126398227,8.134563519,0.003991261,1874,2630,1228,1690,5188,223,2234,369,0,9,360,889,55,192,642,864,327,268,269,5158,3744,993,421,19021,898,18786,1497,128,17289,734,37,158,14,55,26,46,380,47,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,,,,,,,0.96185567,0.987568157,0.662129245,0.820519526,0,0,0.122599567,1,1,0.337818257
