School_Name,ELA Math Science_# ELA Proficiency,SAT_SAT Reading Average Score,SAT_SAT Math Average Score,ISA_# ISA Proficiency Total Student,Latitude,Longitude
Amundsen High School,127.0,497.0,483.9,161.0,41.9757105,-87.6800944
Bogan High School,6.0,401.1,386.9,21.0,41.7488228,-87.72087049999999
Carver Military Academy HS,10.0,450.9,420.4,16.0,41.6565704,-87.5897674
Farragut Career Academy HS,5.0,404.2,391.8,19.0,41.8493963,-87.7084021
Fenger Academy High School,0.0,392.9,385.6,4.0,41.6897069,-87.63784
Foreman High School,7.0,386.6,385.7,12.0,41.9396692,-87.75305039999999
Back of The Yards IB HS,46.0,462.6,469.3,84.0,41.8066775,-87.6679765
Gage Park High School,2.0,397.4,369.4,15.0,41.7910556,-87.68946059999999
Harlan Community Academy HS,2.0,375.1,363.1,2.0,41.7183438,-87.6209035
Hirsch Metropolitan High School,0.0,384.5,361.6,2.0,41.7538333,-87.6018158
Hubbard High School,45.0,437.6,413.5,117.0,41.7801987,-87.71864699999999
Hyde Park Academy High School,3.0,403.3,379.2,10.0,41.782193,-87.5870649
Thomas Kelly College Preparatory,43.0,425.9,415.1,90.0,41.8183203,-87.69485890000001
Kelvyn Park High School,8.0,401.7,380.2,26.0,41.9272439,-87.7359639
Kennedy High School,46.0,443.4,429.3,73.0,41.7902356,-87.7802853
Kenwood Academy High School,366.0,498.2,474.6,328.0,41.8033307,-87.5894153
Lake View High School,37.0,439.7,432.0,59.0,41.9552954,-87.668809
Lane Technical High School,962.0,627.1,626.9,686.0,41.945166,-87.69065409999999
Marshall Metropolitan High School,1.0,375.1,364.1,0.0,41.8790699,-87.70656199999999
Mather High School,58.0,446.4,440.1,98.0,41.9880646,-87.701245
Morgan Park High School,29.0,414.9,393.3,27.0,41.6922322,-87.6653314
Phillips Academy High School,1.0,380.9,372.7,10.0,41.8240527,-87.61980539999999
Roosevelt High School,10.0,410.3,396.0,56.0,41.9657534,-87.714339
Schurz High School,26.0,421.3,401.2,93.0,41.9474441,-87.7352682
Senn High School,83.0,467.2,445.2,117.0,41.9890128,-87.6667743
King College Prep High School,22.0,481.6,460.6,10.0,41.8138852,-87.6029812
Steinmetz College Prep HS,14.0,405.5,395.1,48.0,41.935631,-87.78415199999999
Sullivan High School,11.0,417.5,410.2,22.0,42.0028084,-87.6689166
Taft High School,403.0,480.6,461.7,152.0,41.984587,-87.7916778
Tilden Career Communty Academy HS,3.0,409.8,392.1,5.0,41.8075276,-87.64235269999999
Von Steuben Metro Science HS,157.0,513.9,503.2,149.0,41.9727844,-87.7128743
