School_ID,Short_Name,Long_Name,Primary_Category,Program_Type,Program_Group,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Program_Grades_Served,Application_Requirements,Program_Selections,How_To_Apply,Deadline,School_Latitude,School_Longitude,Location
610026,KINZIE,John H Kinzie Elementary School,ES,KINZIE-Open Enrollment-General Education,General Education,5625 S MOBILE AVE,Chicago,Illinois,60638,7735352425,7735352086,https://www.cps.edu/schools/schoolprofiles/610026,http://kinzie.cps.edu,"K,1,2,3,4,5",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.789965,-87.779483,POINT (-87.779483 41.789965)
610078,INTER-AMERICAN,Inter-American Elementary Magnet School,ES,INTER-AMERICAN-Magnet-Dual Language,Dual Language,851 W WAVELAND AVE,Chicago,Illinois,60613,7735345490,7735345483,https://www.cps.edu/schools/schoolprofiles/610078,https://iamschicago.com,"PreK,K,1,2,3,4,5,6,7",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,Proximity,Tier,General</li><li><strong>Note: </strong>The distribution of available seats into the 4 socio-economic tiers will only be applicable at the entry-level grade.   Staff Preference (and, if applicable, proximity preference) applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.949003,-87.651573,POINT (-87.651573 41.949003)
609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,CURIE HS-Career & Technical Education (CTE)-Media & Communication Arts,Media & Communication Arts,4959 S ARCHER AVE,Chicago,Illinois,60632,7735352100,7735352049,https://www.cps.edu/schools/schoolprofiles/609756,https://www.curiehs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,General</li><li><strong>Note: </strong>Preference given to students scoring above the 24% in ELA and Math</li></ul>",None,,41.80306,-87.722042,POINT (-87.722042 41.80306)
609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School,HS,CURIE HS-Career & Technical Education (CTE)-Media & Communication Arts,Media & Communication Arts,4959 S ARCHER AVE,Chicago,Illinois,60632,7735352100,7735352049,https://www.cps.edu/schools/schoolprofiles/609756,https://www.curiehs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,General</li><li><strong>Note: </strong>Preference given to students scoring above the 24% in ELA and Math</li></ul>",None,,41.80306,-87.722042,POINT (-87.722042 41.80306)
610039,VON LINNE,Carl von Linne Elementary School,ES,VON LINNE-Open Enrollment-General Education,General Education,3221 N SACRAMENTO AVE,Chicago,Illinois,60618,7735345262,7735345287,https://www.cps.edu/schools/schoolprofiles/610039,https://www.linneschool.org,"K,1,2,3,4,5,6,7,8",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.940009,-87.702635,POINT (-87.702635 41.940009)
610015,JUNGMAN,Joseph Jungman Elementary School,ES,JUNGMAN-Magnet with Boundary-STEM,STEM,1746 S MILLER ST,Chicago,Illinois,60608,7735347375,7735347383,https://www.cps.edu/schools/schoolprofiles/610015,https://www.jungmanstem.org,"K,1,2,3,4,5,6,7,8",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.858065,-87.652302,POINT (-87.652302 41.858065)
609930,FUNSTON,Frederick Funston Elementary School,ES,FUNSTON-Open Enrollment-Dual Language,Dual Language,2010 N CENTRAL PARK AVE,Chicago,Illinois,60647,7735344125,7735344551,https://www.cps.edu/schools/schoolprofiles/609930,https://funston.cps.edu,"K,1,2",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.917617,-87.716892,POINT (-87.716892 41.917617)
400025,CICS - BUCKTOWN,CICS - Bucktown,ES,CICS - BUCKTOWN--,,2235 N HAMILTON AVE,Chicago,Illinois,60647,7736453321,7736453327,https://www.cps.edu/schools/schoolprofiles/400025,https://www.cicsbucktown.org,,,<ul><li><strong>Selection Type: </strong></li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong></li></ul>,,,41.922415,-87.681358,POINT (-87.681358 41.922415)
610544,AZUELA,Mariano Azuela Elementary School,ES,AZUELA-Open Enrollment-General Education,General Education,4707 W MARQUETTE RD,Chicago,Illinois,60629,7735357395,7735357397,https://www.cps.edu/schools/schoolprofiles/610544,http://azuela.cps.edu,"K,1,2,3,4,5,6,7,8",None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>N/A</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.771079,-87.73992,POINT (-87.73992 41.771079)
610384,INFINITY HS,Infinity Math Science and Technology High School,HS,"INFINITY HS-Neighborhood-General Education, STEM","General Education, STEM",3120 S KOSTNER AVE,Chicago,Illinois,60623,7735354225,7735354270,https://www.cps.edu/schools/schoolprofiles/610384,https://www.infinityhs.org,9,None,"<ul><li><strong>Selection Type: </strong>Random Computerized Lottery</li>                                                            <li><strong>GPA: </strong>2</li><li><strong>HS Admissions Exam Minimum for ELA/Math: </strong></li>                                                            <ul><li>General Education and 504 Plan Students:  / </li><li>IEP and EL Students:  / </li></ul>                                                            <li><strong>Priority: </strong>Attendance Area,Sibling Preference,Staff Preference,General</li><li><strong>Note: </strong>Staff Preference applies at the entry level grade only. A maximum of 2 seats can be filled through Staff Preference.</li></ul>",None,,41.836169,-87.735278,POINT (-87.735278 41.836169)
